Dataset,Chart,Columns
Movies Recommendation.csv,Box Plot,Movie_Language vs Movie_Popularity
Movies Recommendation.csv,Violin Plot,Movie_Language vs Movie_Popularity
Movies Recommendation.csv,Bar Chart,Movie_Language vs Movie_Popularity
Movies Recommendation.csv,Stacked Bar Chart,Movie_Language vs Movie_Popularity
Movies Recommendation.csv,Box Plot,Movie_Language vs Movie_Revenue
Movies Recommendation.csv,Violin Plot,Movie_Language vs Movie_Revenue
Movies Recommendation.csv,Bar Chart,Movie_Language vs Movie_Revenue
Movies Recommendation.csv,Stacked Bar Chart,Movie_Language vs Movie_Revenue
Movies Recommendation.csv,Box Plot,Movie_Language vs Movie_Runtime
Movies Recommendation.csv,Violin Plot,Movie_Language vs Movie_Runtime
Movies Recommendation.csv,Bar Chart,Movie_Language vs Movie_Runtime
Movies Recommendation.csv,Stacked Bar Chart,Movie_Language vs Movie_Runtime
Movies Recommendation.csv,Box Plot,Movie_Language vs Movie_Vote
Movies Recommendation.csv,Violin Plot,Movie_Language vs Movie_Vote
Movies Recommendation.csv,Bar Chart,Movie_Language vs Movie_Vote
Movies Recommendation.csv,Stacked Bar Chart,Movie_Language vs Movie_Vote
Movies Recommendation.csv,Box Plot,Movie_Language vs Movie_Vote_Count
Movies Recommendation.csv,Violin Plot,Movie_Language vs Movie_Vote_Count
Movies Recommendation.csv,Bar Chart,Movie_Language vs Movie_Vote_Count
Movies Recommendation.csv,Stacked Bar Chart,Movie_Language vs Movie_Vote_Count
Movies Recommendation.csv,Pair Plot,"Movie_Budget, Movie_Popularity, Movie_Revenue, Movie_Runtime, Movie_Vote, Movie_Vote_Count"
Movies Recommendation.csv,Correlation Heatmap,"Movie_Budget, Movie_Popularity, Movie_Revenue, Movie_Runtime, Movie_Vote, Movie_Vote_Count"
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Budget
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Budget
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Popularity
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Popularity
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Revenue
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Revenue
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Runtime
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Runtime
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Vote
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Vote
Movies Recommendation.csv,Line Chart,Movie_Release_Date vs Movie_Vote_Count
Movies Recommendation.csv,Area Chart,Movie_Release_Date vs Movie_Vote_Count
Movies Recommendation.csv,Multi Line Chart,"Movie_Release_Date vs ['Movie_Budget', 'Movie_Popularity', 'Movie_Revenue', 'Movie_Runtime', 'Movie_Vote', 'Movie_Vote_Count']"
Movies Recommendation.csv,Stacked Area Chart,"Movie_Release_Date vs ['Movie_Budget', 'Movie_Popularity', 'Movie_Revenue', 'Movie_Runtime', 'Movie_Vote', 'Movie_Vote_Count']"
Movies Recommendation.csv,Funnel Chart,Movie_Language vs Movie_Budget
NaturalGas.csv,Histogram,rownames
NaturalGas.csv,Density Plot,rownames
NaturalGas.csv,Box Plot,rownames
NaturalGas.csv,Violin Plot,rownames
NaturalGas.csv,Histogram,consumption
NaturalGas.csv,Density Plot,consumption
NaturalGas.csv,Box Plot,consumption
NaturalGas.csv,Violin Plot,consumption
NaturalGas.csv,Histogram,price
NaturalGas.csv,Density Plot,price
NaturalGas.csv,Box Plot,price
NaturalGas.csv,Violin Plot,price
NaturalGas.csv,Histogram,eprice
NaturalGas.csv,Density Plot,eprice
NaturalGas.csv,Box Plot,eprice
NaturalGas.csv,Violin Plot,eprice
NaturalGas.csv,Histogram,oprice
NaturalGas.csv,Density Plot,oprice
NaturalGas.csv,Box Plot,oprice
NaturalGas.csv,Violin Plot,oprice
NaturalGas.csv,Histogram,lprice
NaturalGas.csv,Density Plot,lprice
NaturalGas.csv,Box Plot,lprice
NaturalGas.csv,Violin Plot,lprice
NaturalGas.csv,Histogram,heating
NaturalGas.csv,Density Plot,heating
NaturalGas.csv,Box Plot,heating
NaturalGas.csv,Violin Plot,heating
NaturalGas.csv,Histogram,income
NaturalGas.csv,Density Plot,income
NaturalGas.csv,Box Plot,income
NaturalGas.csv,Violin Plot,income
NaturalGas.csv,Bar Chart,state
NaturalGas.csv,Horizontal Bar Chart,state
NaturalGas.csv,Pie Chart,state
NaturalGas.csv,Donut Chart,state
NaturalGas.csv,Bar Chart,statecode
NaturalGas.csv,Horizontal Bar Chart,statecode
NaturalGas.csv,Pie Chart,statecode
NaturalGas.csv,Donut Chart,statecode
NaturalGas.csv,Scatter Plot,rownames vs consumption
NaturalGas.csv,Bubble Chart,rownames vs consumption
NaturalGas.csv,Scatter Plot,rownames vs price
NaturalGas.csv,Bubble Chart,rownames vs price
NaturalGas.csv,Scatter Plot,rownames vs eprice
NaturalGas.csv,Bubble Chart,rownames vs eprice
NaturalGas.csv,Scatter Plot,rownames vs oprice
NaturalGas.csv,Bubble Chart,rownames vs oprice
NaturalGas.csv,Scatter Plot,rownames vs lprice
NaturalGas.csv,Bubble Chart,rownames vs lprice
NaturalGas.csv,Scatter Plot,rownames vs heating
NaturalGas.csv,Bubble Chart,rownames vs heating
NaturalGas.csv,Scatter Plot,rownames vs income
NaturalGas.csv,Bubble Chart,rownames vs income
NaturalGas.csv,Scatter Plot,consumption vs price
NaturalGas.csv,Bubble Chart,consumption vs price
NaturalGas.csv,Scatter Plot,consumption vs eprice
NaturalGas.csv,Bubble Chart,consumption vs eprice
NaturalGas.csv,Scatter Plot,consumption vs oprice
NaturalGas.csv,Bubble Chart,consumption vs oprice
NaturalGas.csv,Scatter Plot,consumption vs lprice
NaturalGas.csv,Bubble Chart,consumption vs lprice
NaturalGas.csv,Scatter Plot,consumption vs heating
NaturalGas.csv,Bubble Chart,consumption vs heating
NaturalGas.csv,Scatter Plot,consumption vs income
NaturalGas.csv,Bubble Chart,consumption vs income
NaturalGas.csv,Scatter Plot,price vs eprice
NaturalGas.csv,Bubble Chart,price vs eprice
NaturalGas.csv,Scatter Plot,price vs oprice
NaturalGas.csv,Bubble Chart,price vs oprice
NaturalGas.csv,Scatter Plot,price vs lprice
NaturalGas.csv,Bubble Chart,price vs lprice
NaturalGas.csv,Scatter Plot,price vs heating
NaturalGas.csv,Bubble Chart,price vs heating
NaturalGas.csv,Scatter Plot,price vs income
NaturalGas.csv,Bubble Chart,price vs income
NaturalGas.csv,Scatter Plot,eprice vs oprice
NaturalGas.csv,Bubble Chart,eprice vs oprice
NaturalGas.csv,Scatter Plot,eprice vs lprice
NaturalGas.csv,Bubble Chart,eprice vs lprice
NaturalGas.csv,Scatter Plot,eprice vs heating
NaturalGas.csv,Bubble Chart,eprice vs heating
NaturalGas.csv,Scatter Plot,eprice vs income
NaturalGas.csv,Bubble Chart,eprice vs income
NaturalGas.csv,Scatter Plot,oprice vs lprice
NaturalGas.csv,Bubble Chart,oprice vs lprice
NaturalGas.csv,Scatter Plot,oprice vs heating
NaturalGas.csv,Bubble Chart,oprice vs heating
NaturalGas.csv,Scatter Plot,oprice vs income
NaturalGas.csv,Bubble Chart,oprice vs income
NaturalGas.csv,Scatter Plot,lprice vs heating
NaturalGas.csv,Bubble Chart,lprice vs heating
NaturalGas.csv,Scatter Plot,lprice vs income
NaturalGas.csv,Bubble Chart,lprice vs income
NaturalGas.csv,Scatter Plot,heating vs income
NaturalGas.csv,Bubble Chart,heating vs income
NaturalGas.csv,Box Plot,state vs rownames
NaturalGas.csv,Violin Plot,state vs rownames
NaturalGas.csv,Bar Chart,state vs rownames
NaturalGas.csv,Stacked Bar Chart,state vs rownames
NaturalGas.csv,Box Plot,state vs consumption
NaturalGas.csv,Violin Plot,state vs consumption
NaturalGas.csv,Bar Chart,state vs consumption
NaturalGas.csv,Stacked Bar Chart,state vs consumption
NaturalGas.csv,Box Plot,state vs price
NaturalGas.csv,Violin Plot,state vs price
NaturalGas.csv,Bar Chart,state vs price
NaturalGas.csv,Stacked Bar Chart,state vs price
NaturalGas.csv,Box Plot,state vs eprice
NaturalGas.csv,Violin Plot,state vs eprice
NaturalGas.csv,Bar Chart,state vs eprice
NaturalGas.csv,Stacked Bar Chart,state vs eprice
NaturalGas.csv,Box Plot,state vs oprice
NaturalGas.csv,Violin Plot,state vs oprice
NaturalGas.csv,Bar Chart,state vs oprice
NaturalGas.csv,Stacked Bar Chart,state vs oprice
NaturalGas.csv,Box Plot,state vs lprice
NaturalGas.csv,Violin Plot,state vs lprice
NaturalGas.csv,Bar Chart,state vs lprice
NaturalGas.csv,Stacked Bar Chart,state vs lprice
NaturalGas.csv,Box Plot,state vs heating
NaturalGas.csv,Violin Plot,state vs heating
NaturalGas.csv,Bar Chart,state vs heating
NaturalGas.csv,Stacked Bar Chart,state vs heating
NaturalGas.csv,Box Plot,state vs income
NaturalGas.csv,Violin Plot,state vs income
NaturalGas.csv,Bar Chart,state vs income
NaturalGas.csv,Stacked Bar Chart,state vs income
NaturalGas.csv,Box Plot,statecode vs rownames
NaturalGas.csv,Violin Plot,statecode vs rownames
NaturalGas.csv,Bar Chart,statecode vs rownames
NaturalGas.csv,Stacked Bar Chart,statecode vs rownames
NaturalGas.csv,Box Plot,statecode vs consumption
NaturalGas.csv,Violin Plot,statecode vs consumption
NaturalGas.csv,Bar Chart,statecode vs consumption
NaturalGas.csv,Stacked Bar Chart,statecode vs consumption
NaturalGas.csv,Box Plot,statecode vs price
NaturalGas.csv,Violin Plot,statecode vs price
NaturalGas.csv,Bar Chart,statecode vs price
NaturalGas.csv,Stacked Bar Chart,statecode vs price
NaturalGas.csv,Box Plot,statecode vs eprice
NaturalGas.csv,Violin Plot,statecode vs eprice
NaturalGas.csv,Bar Chart,statecode vs eprice
NaturalGas.csv,Stacked Bar Chart,statecode vs eprice
NaturalGas.csv,Box Plot,statecode vs oprice
NaturalGas.csv,Violin Plot,statecode vs oprice
NaturalGas.csv,Bar Chart,statecode vs oprice
NaturalGas.csv,Stacked Bar Chart,statecode vs oprice
NaturalGas.csv,Box Plot,statecode vs lprice
NaturalGas.csv,Violin Plot,statecode vs lprice
NaturalGas.csv,Bar Chart,statecode vs lprice
NaturalGas.csv,Stacked Bar Chart,statecode vs lprice
NaturalGas.csv,Box Plot,statecode vs heating
NaturalGas.csv,Violin Plot,statecode vs heating
NaturalGas.csv,Bar Chart,statecode vs heating
NaturalGas.csv,Stacked Bar Chart,statecode vs heating
NaturalGas.csv,Box Plot,statecode vs income
NaturalGas.csv,Violin Plot,statecode vs income
NaturalGas.csv,Bar Chart,statecode vs income
NaturalGas.csv,Stacked Bar Chart,statecode vs income
NaturalGas.csv,Pair Plot,"rownames, consumption, price, eprice, oprice, lprice, heating, income"
NaturalGas.csv,Correlation Heatmap,"rownames, consumption, price, eprice, oprice, lprice, heating, income"
NaturalGas.csv,Line Chart,year vs rownames
NaturalGas.csv,Area Chart,year vs rownames
NaturalGas.csv,Line Chart,year vs consumption
NaturalGas.csv,Area Chart,year vs consumption
NaturalGas.csv,Line Chart,year vs price
NaturalGas.csv,Area Chart,year vs price
NaturalGas.csv,Line Chart,year vs eprice
NaturalGas.csv,Area Chart,year vs eprice
NaturalGas.csv,Line Chart,year vs oprice
NaturalGas.csv,Area Chart,year vs oprice
NaturalGas.csv,Line Chart,year vs lprice
NaturalGas.csv,Area Chart,year vs lprice
NaturalGas.csv,Line Chart,year vs heating
NaturalGas.csv,Area Chart,year vs heating
NaturalGas.csv,Line Chart,year vs income
NaturalGas.csv,Area Chart,year vs income
NaturalGas.csv,Multi Line Chart,"year vs ['rownames', 'consumption', 'price', 'eprice', 'oprice', 'lprice', 'heating', 'income']"
NaturalGas.csv,Stacked Area Chart,"year vs ['rownames', 'consumption', 'price', 'eprice', 'oprice', 'lprice', 'heating', 'income']"
NaturalGas.csv,Treemap,"state, statecode"
NaturalGas.csv,Sunburst Chart,"state, statecode"
NaturalGas.csv,Sankey Diagram,"state, statecode"
NaturalGas.csv,Funnel Chart,state vs rownames
OECDGas.csv,Histogram,rownames
OECDGas.csv,Density Plot,rownames
OECDGas.csv,Box Plot,rownames
OECDGas.csv,Violin Plot,rownames
OECDGas.csv,Histogram,gas
OECDGas.csv,Density Plot,gas
OECDGas.csv,Box Plot,gas
OECDGas.csv,Violin Plot,gas
OECDGas.csv,Histogram,income
OECDGas.csv,Density Plot,income
OECDGas.csv,Box Plot,income
OECDGas.csv,Violin Plot,income
OECDGas.csv,Histogram,price
OECDGas.csv,Density Plot,price
OECDGas.csv,Box Plot,price
OECDGas.csv,Violin Plot,price
OECDGas.csv,Histogram,cars
OECDGas.csv,Density Plot,cars
OECDGas.csv,Box Plot,cars
OECDGas.csv,Violin Plot,cars
OECDGas.csv,Bar Chart,country
OECDGas.csv,Horizontal Bar Chart,country
OECDGas.csv,Pie Chart,country
OECDGas.csv,Donut Chart,country
OECDGas.csv,Scatter Plot,rownames vs gas
OECDGas.csv,Bubble Chart,rownames vs gas
OECDGas.csv,Scatter Plot,rownames vs income
OECDGas.csv,Bubble Chart,rownames vs income
OECDGas.csv,Scatter Plot,rownames vs price
OECDGas.csv,Bubble Chart,rownames vs price
OECDGas.csv,Scatter Plot,rownames vs cars
OECDGas.csv,Bubble Chart,rownames vs cars
OECDGas.csv,Scatter Plot,gas vs income
OECDGas.csv,Bubble Chart,gas vs income
OECDGas.csv,Scatter Plot,gas vs price
OECDGas.csv,Bubble Chart,gas vs price
OECDGas.csv,Scatter Plot,gas vs cars
OECDGas.csv,Bubble Chart,gas vs cars
OECDGas.csv,Scatter Plot,income vs price
OECDGas.csv,Bubble Chart,income vs price
OECDGas.csv,Scatter Plot,income vs cars
OECDGas.csv,Bubble Chart,income vs cars
OECDGas.csv,Scatter Plot,price vs cars
OECDGas.csv,Bubble Chart,price vs cars
OECDGas.csv,Box Plot,country vs rownames
OECDGas.csv,Violin Plot,country vs rownames
OECDGas.csv,Bar Chart,country vs rownames
OECDGas.csv,Stacked Bar Chart,country vs rownames
OECDGas.csv,Box Plot,country vs gas
OECDGas.csv,Violin Plot,country vs gas
OECDGas.csv,Bar Chart,country vs gas
OECDGas.csv,Stacked Bar Chart,country vs gas
OECDGas.csv,Box Plot,country vs income
OECDGas.csv,Violin Plot,country vs income
OECDGas.csv,Bar Chart,country vs income
OECDGas.csv,Stacked Bar Chart,country vs income
OECDGas.csv,Box Plot,country vs price
OECDGas.csv,Violin Plot,country vs price
OECDGas.csv,Bar Chart,country vs price
OECDGas.csv,Stacked Bar Chart,country vs price
OECDGas.csv,Box Plot,country vs cars
OECDGas.csv,Violin Plot,country vs cars
OECDGas.csv,Bar Chart,country vs cars
OECDGas.csv,Stacked Bar Chart,country vs cars
OECDGas.csv,Pair Plot,"rownames, gas, income, price, cars"
OECDGas.csv,Correlation Heatmap,"rownames, gas, income, price, cars"
OECDGas.csv,Line Chart,year vs rownames
OECDGas.csv,Area Chart,year vs rownames
OECDGas.csv,Line Chart,year vs gas
OECDGas.csv,Area Chart,year vs gas
OECDGas.csv,Line Chart,year vs income
OECDGas.csv,Area Chart,year vs income
OECDGas.csv,Line Chart,year vs price
OECDGas.csv,Area Chart,year vs price
OECDGas.csv,Line Chart,year vs cars
OECDGas.csv,Area Chart,year vs cars
OECDGas.csv,Multi Line Chart,"year vs ['rownames', 'gas', 'income', 'price', 'cars']"
OECDGas.csv,Stacked Area Chart,"year vs ['rownames', 'gas', 'income', 'price', 'cars']"
OECDGas.csv,Funnel Chart,country vs rownames
Online Purchase.csv,Histogram,Age
Online Purchase.csv,Density Plot,Age
Online Purchase.csv,Box Plot,Age
Online Purchase.csv,Violin Plot,Age
Online Purchase.csv,Histogram,Salary
Online Purchase.csv,Density Plot,Salary
Online Purchase.csv,Box Plot,Salary
Online Purchase.csv,Violin Plot,Salary
Online Purchase.csv,Bar Chart,Gender
Online Purchase.csv,Horizontal Bar Chart,Gender
Online Purchase.csv,Pie Chart,Gender
Online Purchase.csv,Donut Chart,Gender
Online Purchase.csv,Bar Chart,Purchased
Online Purchase.csv,Horizontal Bar Chart,Purchased
Online Purchase.csv,Pie Chart,Purchased
Online Purchase.csv,Donut Chart,Purchased
Online Purchase.csv,Scatter Plot,Age vs Salary
Online Purchase.csv,Bubble Chart,Age vs Salary
Online Purchase.csv,Box Plot,Gender vs Age
Online Purchase.csv,Violin Plot,Gender vs Age
Online Purchase.csv,Bar Chart,Gender vs Age
Online Purchase.csv,Stacked Bar Chart,Gender vs Age
Online Purchase.csv,Box Plot,Gender vs Salary
Online Purchase.csv,Violin Plot,Gender vs Salary
Online Purchase.csv,Bar Chart,Gender vs Salary
Online Purchase.csv,Stacked Bar Chart,Gender vs Salary
Online Purchase.csv,Box Plot,Purchased vs Age
Online Purchase.csv,Violin Plot,Purchased vs Age
Online Purchase.csv,Bar Chart,Purchased vs Age
Online Purchase.csv,Stacked Bar Chart,Purchased vs Age
Online Purchase.csv,Box Plot,Purchased vs Salary
Online Purchase.csv,Violin Plot,Purchased vs Salary
Online Purchase.csv,Bar Chart,Purchased vs Salary
Online Purchase.csv,Stacked Bar Chart,Purchased vs Salary
Online Purchase.csv,Pair Plot,"Age, Salary"
Online Purchase.csv,Treemap,"Gender, Purchased"
Online Purchase.csv,Sunburst Chart,"Gender, Purchased"
Online Purchase.csv,Sankey Diagram,"Gender, Purchased"
Online Purchase.csv,Funnel Chart,Gender vs Age
OrangeCounty.csv,Histogram,rownames
OrangeCounty.csv,Density Plot,rownames
OrangeCounty.csv,Box Plot,rownames
OrangeCounty.csv,Violin Plot,rownames
OrangeCounty.csv,Histogram,employment
OrangeCounty.csv,Density Plot,employment
OrangeCounty.csv,Box Plot,employment
OrangeCounty.csv,Violin Plot,employment
OrangeCounty.csv,Histogram,gnp
OrangeCounty.csv,Density Plot,gnp
OrangeCounty.csv,Box Plot,gnp
OrangeCounty.csv,Violin Plot,gnp
OrangeCounty.csv,Scatter Plot,rownames vs employment
OrangeCounty.csv,Bubble Chart,rownames vs employment
OrangeCounty.csv,Scatter Plot,rownames vs gnp
OrangeCounty.csv,Bubble Chart,rownames vs gnp
OrangeCounty.csv,Scatter Plot,employment vs gnp
OrangeCounty.csv,Bubble Chart,employment vs gnp
OrangeCounty.csv,Pair Plot,"rownames, employment, gnp"
OrangeCounty.csv,Correlation Heatmap,"rownames, employment, gnp"
Parade2005.csv,Histogram,rownames
Parade2005.csv,Density Plot,rownames
Parade2005.csv,Box Plot,rownames
Parade2005.csv,Violin Plot,rownames
Parade2005.csv,Histogram,earnings
Parade2005.csv,Density Plot,earnings
Parade2005.csv,Box Plot,earnings
Parade2005.csv,Violin Plot,earnings
Parade2005.csv,Histogram,age
Parade2005.csv,Density Plot,age
Parade2005.csv,Box Plot,age
Parade2005.csv,Violin Plot,age
Parade2005.csv,Bar Chart,gender
Parade2005.csv,Horizontal Bar Chart,gender
Parade2005.csv,Pie Chart,gender
Parade2005.csv,Donut Chart,gender
Parade2005.csv,Bar Chart,celebrity
Parade2005.csv,Horizontal Bar Chart,celebrity
Parade2005.csv,Pie Chart,celebrity
Parade2005.csv,Donut Chart,celebrity
Parade2005.csv,Scatter Plot,rownames vs earnings
Parade2005.csv,Bubble Chart,rownames vs earnings
Parade2005.csv,Scatter Plot,rownames vs age
Parade2005.csv,Bubble Chart,rownames vs age
Parade2005.csv,Scatter Plot,earnings vs age
Parade2005.csv,Bubble Chart,earnings vs age
Parade2005.csv,Box Plot,gender vs rownames
Parade2005.csv,Violin Plot,gender vs rownames
Parade2005.csv,Bar Chart,gender vs rownames
Parade2005.csv,Stacked Bar Chart,gender vs rownames
Parade2005.csv,Box Plot,gender vs earnings
Parade2005.csv,Violin Plot,gender vs earnings
Parade2005.csv,Bar Chart,gender vs earnings
Parade2005.csv,Stacked Bar Chart,gender vs earnings
Parade2005.csv,Box Plot,gender vs age
Parade2005.csv,Violin Plot,gender vs age
Parade2005.csv,Bar Chart,gender vs age
Parade2005.csv,Stacked Bar Chart,gender vs age
Parade2005.csv,Box Plot,celebrity vs rownames
Parade2005.csv,Violin Plot,celebrity vs rownames
Parade2005.csv,Bar Chart,celebrity vs rownames
Parade2005.csv,Stacked Bar Chart,celebrity vs rownames
Parade2005.csv,Box Plot,celebrity vs earnings
Parade2005.csv,Violin Plot,celebrity vs earnings
Parade2005.csv,Bar Chart,celebrity vs earnings
Parade2005.csv,Stacked Bar Chart,celebrity vs earnings
Parade2005.csv,Box Plot,celebrity vs age
Parade2005.csv,Violin Plot,celebrity vs age
Parade2005.csv,Bar Chart,celebrity vs age
Parade2005.csv,Stacked Bar Chart,celebrity vs age
Parade2005.csv,Pair Plot,"rownames, earnings, age"
Parade2005.csv,Correlation Heatmap,"rownames, earnings, age"
Parade2005.csv,Treemap,"gender, celebrity"
Parade2005.csv,Sunburst Chart,"gender, celebrity"
Parade2005.csv,Sankey Diagram,"gender, celebrity"
Parade2005.csv,Funnel Chart,gender vs rownames
PepperPrice.csv,Histogram,rownames
PepperPrice.csv,Density Plot,rownames
PepperPrice.csv,Box Plot,rownames
PepperPrice.csv,Violin Plot,rownames
PepperPrice.csv,Histogram,black
PepperPrice.csv,Density Plot,black
PepperPrice.csv,Box Plot,black
PepperPrice.csv,Violin Plot,black
PepperPrice.csv,Histogram,white
PepperPrice.csv,Density Plot,white
PepperPrice.csv,Box Plot,white
PepperPrice.csv,Violin Plot,white
PepperPrice.csv,Scatter Plot,rownames vs black
PepperPrice.csv,Bubble Chart,rownames vs black
PepperPrice.csv,Scatter Plot,rownames vs white
PepperPrice.csv,Bubble Chart,rownames vs white
PepperPrice.csv,Scatter Plot,black vs white
PepperPrice.csv,Bubble Chart,black vs white
PepperPrice.csv,Pair Plot,"rownames, black, white"
PepperPrice.csv,Correlation Heatmap,"rownames, black, white"
Placement (1).csv,Histogram,CGPA
Placement (1).csv,Density Plot,CGPA
Placement (1).csv,Box Plot,CGPA
Placement (1).csv,Violin Plot,CGPA
Placement (1).csv,Histogram,IQ
Placement (1).csv,Density Plot,IQ
Placement (1).csv,Box Plot,IQ
Placement (1).csv,Violin Plot,IQ
Placement (1).csv,Bar Chart,Placement
Placement (1).csv,Horizontal Bar Chart,Placement
Placement (1).csv,Pie Chart,Placement
Placement (1).csv,Donut Chart,Placement
Placement (1).csv,Scatter Plot,CGPA vs IQ
Placement (1).csv,Bubble Chart,CGPA vs IQ
Placement (1).csv,Box Plot,Placement vs CGPA
Placement (1).csv,Violin Plot,Placement vs CGPA
Placement (1).csv,Bar Chart,Placement vs CGPA
Placement (1).csv,Stacked Bar Chart,Placement vs CGPA
Placement (1).csv,Box Plot,Placement vs IQ
Placement (1).csv,Violin Plot,Placement vs IQ
Placement (1).csv,Bar Chart,Placement vs IQ
Placement (1).csv,Stacked Bar Chart,Placement vs IQ
Placement (1).csv,Pair Plot,"CGPA, IQ"
Placement (1).csv,Funnel Chart,Placement vs CGPA
Product Sales Data.csv,Histogram,Cream
Product Sales Data.csv,Density Plot,Cream
Product Sales Data.csv,Box Plot,Cream
Product Sales Data.csv,Violin Plot,Cream
Product Sales Data.csv,Histogram,Detergent
Product Sales Data.csv,Density Plot,Detergent
Product Sales Data.csv,Box Plot,Detergent
Product Sales Data.csv,Violin Plot,Detergent
Product Sales Data.csv,Histogram,Moisturizer
Product Sales Data.csv,Density Plot,Moisturizer
Product Sales Data.csv,Box Plot,Moisturizer
Product Sales Data.csv,Violin Plot,Moisturizer
Product Sales Data.csv,Histogram,Sanitizer
Product Sales Data.csv,Density Plot,Sanitizer
Product Sales Data.csv,Box Plot,Sanitizer
Product Sales Data.csv,Violin Plot,Sanitizer
Product Sales Data.csv,Histogram,Shampoo
Product Sales Data.csv,Density Plot,Shampoo
Product Sales Data.csv,Box Plot,Shampoo
Product Sales Data.csv,Violin Plot,Shampoo
Product Sales Data.csv,Histogram,Soap
Product Sales Data.csv,Density Plot,Soap
Product Sales Data.csv,Box Plot,Soap
Product Sales Data.csv,Violin Plot,Soap
Product Sales Data.csv,Histogram,Total Units
Product Sales Data.csv,Density Plot,Total Units
Product Sales Data.csv,Box Plot,Total Units
Product Sales Data.csv,Violin Plot,Total Units
Product Sales Data.csv,Histogram,Total Profit
Product Sales Data.csv,Density Plot,Total Profit
Product Sales Data.csv,Box Plot,Total Profit
Product Sales Data.csv,Violin Plot,Total Profit
Product Sales Data.csv,Bar Chart,Month
Product Sales Data.csv,Horizontal Bar Chart,Month
Product Sales Data.csv,Pie Chart,Month
Product Sales Data.csv,Donut Chart,Month
Product Sales Data.csv,Scatter Plot,Cream vs Detergent
Product Sales Data.csv,Bubble Chart,Cream vs Detergent
Product Sales Data.csv,Scatter Plot,Cream vs Moisturizer
Product Sales Data.csv,Bubble Chart,Cream vs Moisturizer
Product Sales Data.csv,Scatter Plot,Cream vs Sanitizer
Product Sales Data.csv,Bubble Chart,Cream vs Sanitizer
Product Sales Data.csv,Scatter Plot,Cream vs Shampoo
Product Sales Data.csv,Bubble Chart,Cream vs Shampoo
Product Sales Data.csv,Scatter Plot,Cream vs Soap
Product Sales Data.csv,Bubble Chart,Cream vs Soap
Product Sales Data.csv,Scatter Plot,Cream vs Total Units
Product Sales Data.csv,Bubble Chart,Cream vs Total Units
Product Sales Data.csv,Scatter Plot,Cream vs Total Profit
Product Sales Data.csv,Bubble Chart,Cream vs Total Profit
Product Sales Data.csv,Scatter Plot,Detergent vs Moisturizer
Product Sales Data.csv,Bubble Chart,Detergent vs Moisturizer
Product Sales Data.csv,Scatter Plot,Detergent vs Sanitizer
Product Sales Data.csv,Bubble Chart,Detergent vs Sanitizer
Product Sales Data.csv,Scatter Plot,Detergent vs Shampoo
Product Sales Data.csv,Bubble Chart,Detergent vs Shampoo
Product Sales Data.csv,Scatter Plot,Detergent vs Soap
Product Sales Data.csv,Bubble Chart,Detergent vs Soap
Product Sales Data.csv,Scatter Plot,Detergent vs Total Units
Product Sales Data.csv,Bubble Chart,Detergent vs Total Units
Product Sales Data.csv,Scatter Plot,Detergent vs Total Profit
Product Sales Data.csv,Bubble Chart,Detergent vs Total Profit
Product Sales Data.csv,Scatter Plot,Moisturizer vs Sanitizer
Product Sales Data.csv,Bubble Chart,Moisturizer vs Sanitizer
Product Sales Data.csv,Scatter Plot,Moisturizer vs Shampoo
Product Sales Data.csv,Bubble Chart,Moisturizer vs Shampoo
Product Sales Data.csv,Scatter Plot,Moisturizer vs Soap
Product Sales Data.csv,Bubble Chart,Moisturizer vs Soap
Product Sales Data.csv,Scatter Plot,Moisturizer vs Total Units
Product Sales Data.csv,Bubble Chart,Moisturizer vs Total Units
Product Sales Data.csv,Scatter Plot,Moisturizer vs Total Profit
Product Sales Data.csv,Bubble Chart,Moisturizer vs Total Profit
Product Sales Data.csv,Scatter Plot,Sanitizer vs Shampoo
Product Sales Data.csv,Bubble Chart,Sanitizer vs Shampoo
Product Sales Data.csv,Scatter Plot,Sanitizer vs Soap
Product Sales Data.csv,Bubble Chart,Sanitizer vs Soap
Product Sales Data.csv,Scatter Plot,Sanitizer vs Total Units
Product Sales Data.csv,Bubble Chart,Sanitizer vs Total Units
Product Sales Data.csv,Scatter Plot,Sanitizer vs Total Profit
Product Sales Data.csv,Bubble Chart,Sanitizer vs Total Profit
Product Sales Data.csv,Scatter Plot,Shampoo vs Soap
Product Sales Data.csv,Bubble Chart,Shampoo vs Soap
Product Sales Data.csv,Scatter Plot,Shampoo vs Total Units
Product Sales Data.csv,Bubble Chart,Shampoo vs Total Units
Product Sales Data.csv,Scatter Plot,Shampoo vs Total Profit
Product Sales Data.csv,Bubble Chart,Shampoo vs Total Profit
